filename,width,height,class,xmin,ymin,xmax,ymax
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\sock\1. sock-stockholm-2017-wednesday.jpg,1920,1080,jack sock,550,135,751,387
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Querrey\10. 811978056.jpg,748,498,sam austin querry,258,236,351,390
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\10. 9350506-3x2-940x627.jpg,940,627,roger federer,391,283,502,410
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\10. bn-xc988_3nbbz_or_20180123104504.jpg,3732,2488,rafael nadal,1317,512,2114,1428
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\sock\10. jack-sock-forehand-150325g300.jpg,300,300,jack sock,174,44,215,110
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and querrey tennis players\10. roger-federer-rafael-nadal-and-sam-querrey-892307.jpg,590,350,roger federer,119,63,205,169
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and querrey tennis players\10. roger-federer-rafael-nadal-and-sam-querrey-892307.jpg,590,350,rafael nadal,394,63,487,183
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and querrey tennis players\10. roger-federer-rafael-nadal-and-sam-querrey-892307.jpg,590,350,sam austin querry,261,136,329,236
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\10. us-open-2017-day-2-scheduled-players-rafael-nadal-roger-federer-846921.jpg,590,350,rafael nadal,98,78,245,259
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\10. us-open-2017-day-2-scheduled-players-rafael-nadal-roger-federer-846921.jpg,590,350,roger federer,367,45,458,170
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\100. gty_852500634_94028640.jpg,1000,600,roger federer,676,106,719,158
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\100. gty_852500634_94028640.jpg,1000,600,rafael nadal,319,53,363,100
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\sock\100. sock-reuters-m.jpg,759,422,jack sock,408,42,476,135
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\sock\11. gty_614582586_85974662.jpg,1000,600,jack sock,121,66,237,203
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and querrey tennis players\11. pri_56287363.jpg,748,498,sam austin querry,201,61,323,244
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\11. rafael-nadal_21.jpg,800,533,rafael nadal,392,95,488,206
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\11. roger-federer-rafael-nadal-tennis-news-921336.jpg,590,350,rafael nadal,314,77,407,198
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\11. roger_federer.jpg,882,650,roger federer,329,250,472,428
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Querrey\11. wimbledon-querrey-friday-2016.jpg,1920,1080,sam austin querry,817,75,1043,392
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\12. 20180315_mt_bnppo__mdt7427-1024x689.jpg,1024,689,roger federer,388,150,434,218
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\12. 28rivalry1-superjumbo.jpg,2048,1648,rafael nadal,983,224,1270,624
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\12. 28rivalry1-superjumbo.jpg,2048,1648,roger federer,563,273,883,644
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\12. nadal-wimbledon-2017-monday-2.jpg,1920,1080,rafael nadal,876,80,1000,244
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Querrey\12. sam-querrey-2017-07-12t151101z-2079019863-rc144c986a80-rtrmadp-3-tennis-wimbledon.jpg,620,350,sam austin querry,176,28,249,111
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and querrey tennis players\12. sam-querrey-federer-and-nadal-would-be-able-to-win-major-doubles-titles-.jpg,700,393,roger federer,268,130,309,186
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and querrey tennis players\12. sam-querrey-federer-and-nadal-would-be-able-to-win-major-doubles-titles-.jpg,700,393,rafael nadal,217,36,259,86
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\13. 40ef2239e8b44b6ca7170f63316222a6.jpg,300,300,roger federer,64,48,136,133
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\sock\13. jack_sock.jpg,2400,1678,jack sock,1061,254,1332,601
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\13. jpeg.jpg,1024,576,roger federer,354,79,472,217
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\13. jpeg.jpg,1024,576,rafael nadal,606,106,719,236
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\13. nadal-monte-carlo-2017-thursday.jpg,1920,1080,rafael nadal,950,112,1176,392
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and querrey tennis players\13. sam+querrey+atp+aegon+open+nottingham+day+xgsp2by1awll.jpg,600,405,sam austin querry,287,52,354,140
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Querrey\13. sam-querrey-685790.jpg,590,350,sam austin querry,255,49,352,169
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\sock\14. 1200px-sock_wm17_%289%29_%2835347279174%29.jpg,1200,1797,jack sock,647,235,873,557
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and querrey tennis players\14. 852491642-laver-cup-day-two.jpg.jpg&c=sc&w=3247&h=2237.jpg,3247,2237,rafael nadal,1782,425,2117,900
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\14. nadal21.jpg,2569,3207,rafael nadal,1132,1844,1597,2494
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\14. roger-federer-and-rafael-nadal-858103.jpg,590,350,rafael nadal,356,45,391,91
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\14. roger-federer-and-rafael-nadal-858103.jpg,590,350,roger federer,93,25,119,59
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\14. roger-federer.jpg,620,465,roger federer,286,60,408,232
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Querrey\14. tennis-sam-querrey-and-john-isner-headline-newport-singles-draw.jpg,700,491,sam austin querry,419,62,559,265
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\15. 017be8ecb4185bb1b2c97e63016b46be.jpg,3455,5178,rafael nadal,1806,380,2142,833
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\15. 10241270-1040x572.jpg,1040,572,roger federer,289,56,367,168
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and nadal tennis players\15. 10241270-1040x572.jpg,1040,572,rafael nadal,651,76,745,193
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\15. roger%20federer.jpg,2000,1333,roger federer,927,170,1155,449
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Querrey\15. skysports-sam-querrey-querrey-wimbledon_4000009.jpg,768,432,sam austin querry,345,56,483,248
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\sock\15. sock-nitto-atp-finals-2017-tuesday-in-prog-getty.jpg,1920,1080,jack sock,929,64,1040,236
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Nadal\16. 220px-rafael_nadal_8%2c_aegon_championships%2c_london%2c_uk_-_diliff.jpg,220,176,rafael nadal,44,43,83,82
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer\16. atp-indian-wells-roger-federer-edges-chardy-to-set-hyeon-chung-clash.jpg,848,477,roger federer,147,95,273,254
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\Querrey\16. bfad1803601e87467bd44cbae5e8518d_400x400.jpg,400,400,sam austin querry,180,52,325,232
C:\Users\Nirjalpa\Desktop\ITU SUBJECTS\capston project\federer and querrey tennis players\16. federernadal_1nis95ossthyg1fpcohbu2sbhx.jpg,1024,576,rafael nadal,792,160,820,201
